"","time","variable","value"
"1",0.5,"N_EST",1.85
"2",1,"N_EST",10.4062033338504
"3",2,"N_EST",26.1843789950763
"4",4,"N_EST",25.5769457930682
"5",6,"N_EST",12.2371109534677
"6",12,"N_EST",5.75116440202829
"7",24,"N_EST",5.27592278530723
"8",48,"N_EST",5.24802341462413
"9",72,"N_EST",5.24790528582404
"10",0.5,"M_EST",0.3333333
"11",1,"M_EST",1.77953790309019
"12",2,"M_EST",4.53971690050693
"13",4,"M_EST",9.53116055932053
"14",6,"M_EST",12.5088830041795
"15",12,"M_EST",15.0431729831309
"16",24,"M_EST",15.6892405895819
"17",48,"M_EST",15.7337349703023
"18",72,"M_EST",15.733924687938
"19",0.5,"B_EST",1.99567
"20",1,"B_EST",4.32879945075749
"21",2,"B_EST",16.0068409981161
"22",4,"B_EST",24.0938416447987
"23",6,"B_EST",12.8780156345855
"24",12,"B_EST",4.99898227093037
"25",24,"B_EST",4.51260739551417
"26",48,"B_EST",4.48550632492815
"27",72,"B_EST",4.48539171948514
"28",0.5,"A_EST",0.665976
"29",1,"A_EST",0.791808770459438
"30",2,"A_EST",2.11258814016678
"31",4,"A_EST",4.51137617575652
"32",6,"A_EST",5.95653026287206
"33",12,"A_EST",7.18523698815943
"34",24,"A_EST",7.4971259267389
"35",48,"A_EST",7.51859994868305
"36",72,"A_EST",7.51869151009761
