id,iBM,kMB,kNB,lambdaM,lambdaN,muA,muB,muM,muN,sAM,sBN,vNM
164,-0.46105221950334757,-0.7717912002501881,1.848209363613637,3.357266707102142,18.95373132735127,25.51879756681549,3.135587314158365,-0.023859233507622736,-0.36195412933525484,13.339281851731997,1.599536807267167,-0.6571859353994186
165,-0.48743628426696195,-0.5005753159686349,0.4302930364748281,3.469308891381864,17.573489215616753,35.45622981531966,3.7804165878070464,-0.0454905640118001,-0.37802386148921774,12.56503848045423,2.1815646304859286,-0.5057379555782552
166,-0.29068921532316316,-0.482783721048646,1.3236541623343285,2.4971196110030225,21.927337121621367,30.132536442277676,2.5325343289118045,-0.02375884287924583,-0.546862083583804,12.231012009363317,1.6306857513135529,-0.8345574166189474
167,-0.350075520286877,-0.3939206042317913,1.7151500826344206,1.4526591774129962,10.0782687054232,24.86242610798761,2.075019185360767,-0.04874756848323481,-0.7434045528188433,15.516294952492073,0.46822129215323016,-0.5235743078530976
168,-0.4579599510659026,-0.6100988132519437,1.1935914359428625,2.2083199298735563,17.50662304166518,24.019877746929474,2.7680457158957434,-0.03498104135557048,-0.5897409206885794,16.532711150944404,0.4865286826516776,-0.5495132325492236
169,-0.45967680707452535,-0.5616875491431319,1.8699255326406485,2.9885674141259533,16.548759607772947,28.033813573845084,3.286129200540654,-0.04324002047682572,-0.2573175408471329,9.560889610187848,2.526445849381888,-0.8975115343564788
170,-0.24118628878067377,-0.34867155713213205,1.024485784412176,1.964808434671484,14.43107417332049,32.447256510098626,2.2284179350196305,-0.04201489492829831,-0.6662020076281896,10.86500796937376,2.0700569075159754,-0.6109421039797158
171,-0.4746574343366169,-0.40281348366449826,2.0056146645178545,0.6147982915058849,12.059902698202238,22.241519438664596,2.3712342502753248,-0.035464216360702405,-0.7031540143006687,18.963877403886194,0.1549668756223226,-0.18831378446935088
172,-0.48381767262319997,-0.5137744597175177,1.3233181266383616,3.147360212618038,13.553568646222361,26.845075312096267,3.427923786917647,-0.05442780290746328,-0.3314115071798954,14.006850618010375,2.2328898611103405,-0.7102760717704659
173,-0.37391843066715574,-0.4298909045085758,1.6910321909271948,2.1315497009773576,14.31234046202472,26.801820140755986,2.3409951842779675,-0.05314684069495085,-0.5167638874028734,14.665904416009319,1.5096144586447326,-0.7549265675162192
174,-0.4272205999532102,-0.6033812848457961,1.460854200154325,2.8931759355546482,19.865739370199062,25.385923855498184,1.9703539054998391,-0.03810533128624638,-0.45728475773358496,12.25939938432596,0.940446359538287,-0.7949531988177923
175,-0.5963068917960257,-0.4992042117743347,1.0815706204786348,2.2067662911824972,19.084800307474545,24.954622964479395,3.0175164751634203,-0.02488002024025142,-0.4116953234379676,15.073408579804827,1.2404383600773234,-0.6332452933842796
176,-0.024088499587113593,-0.5217729537654779,1.722793246580582,1.5793088658537717,23.47532152209831,30.702865418149997,2.583347455682623,-0.10668472717314531,-0.5848764206518073,20.55171678827509,1.0981741324541925,-0.9598594319868348
177,-0.22898016609773164,-0.5786694373041346,1.636859465208176,3.538251691747908,15.91190527414732,29.04266069156056,2.452970120334059,-0.08230519213777268,-0.4108727674205197,11.179178037073946,1.8372666213326836,-0.8563510768313431
178,-0.23891017901001366,-0.3565096241084232,1.329936051107643,1.9123468635762173,16.137914658599673,29.516670347117795,1.9676221950115687,-0.04501019432944346,-0.7656426915098331,17.980445185793098,0.8492271419681449,-0.5393641933278163
179,-0.3550593256263691,-0.461185092232032,1.1067250147508845,2.952703941232361,17.533266465947438,30.858673713930408,3.756718757954599,-0.07313337652167422,-0.26398006117009254,11.745827005840216,2.5239386243484567,-0.7105658262153011
180,-0.4697846943416156,-0.3719636863540987,1.4673445748833713,1.7941370674223787,10.85964892232623,24.91857511287923,2.5096599296874844,-0.0781531089420394,-0.3925477807900096,11.717948885048905,1.3445496551363165,-0.6635005609140773
181,-0.3625551737473247,-0.5992213194099603,0.9242316287527006,3.8719084754899074,23.97807529143796,33.987336022836374,3.7888127279959005,-0.04865681056182238,-0.268987625818495,13.265899959111152,2.463443713537681,-0.6559875608840674
182,-0.38677677805316324,-0.5390564276095128,1.1093457751096452,3.817705121052962,17.07930076024434,31.975255891973614,3.507547983333908,-0.07394662083564674,-0.29596350643760855,9.256664785388619,2.2635489666317454,-0.7770326342482546
183,-0.44013577653516717,-0.44787739211121796,0.5909843303526221,3.5829321959874316,18.278334677655128,36.36385100478436,2.719512900888852,-0.007916513733635715,-0.6210829370904198,14.866038539396671,2.15206471721074,-0.8109633394247557
