id,iBM,kMB,kNB,lambdaM,lambdaN,muA,muB,muM,muN,sAM,sBN,vNM
3255,-0.23002893389608758,-0.9870874185923408,2.3638833476832435,2.8756735320541265,15.182474878563465,40.62967944062604,3.267492771849555,-0.03432601853128052,-0.7611678701623116,18.773364509083137,1.6885586158099521,-0.8303798398711308
3256,-0.2961276731894699,-0.9957164019298477,2.151002951534845,2.918353723758845,14.504939094326238,44.62637752321896,3.111513610561923,-0.03361331523622949,-0.5654146137524086,20.22751318148033,1.4849510843244664,-0.8296584126289328
3257,-0.15159751955236672,-0.9783397230854595,2.5450387336372864,2.826999768368976,14.785282893075427,38.70009582583421,3.239899549197544,-0.018237348268691743,-0.881264216469653,16.924772101710232,1.871102611288338,-0.8060271886197599
3258,-0.1767076872895885,-0.9883849160260278,2.4824534505704685,2.769633525748552,14.759826143232399,39.68763172601868,3.223679356731167,-0.025021343042692105,-0.7901273312921806,17.75298319663056,1.7077730801207727,-0.7964256196974737
3259,-0.20726862367459245,-0.9853641705192558,2.4141414971444184,2.9097053233617096,14.758724556698866,40.22085538525668,3.253542458616553,-0.02746248303606797,-0.7979929238074791,17.94717939350534,1.7795897995116703,-0.8176263669250302
3260,-0.11444587099750071,-0.9779978284436841,2.648868957009958,2.725520021676414,14.65728799413637,38.416375843575835,3.2196443162272033,-0.012857454616897124,-0.8930443766808807,16.40129636639351,1.8828487161071426,-0.7930034074516082
3261,-0.12706464736142997,-0.9773151344521117,2.589719414989435,2.8212698802237295,14.373075346473765,39.56459501833034,3.160681875945768,-0.007464172142213024,-0.9007135907734469,16.63292727877955,1.928631208782139,-0.7974297990494902
3262,-0.19850278870098656,-0.9808670883999833,2.447446602819788,2.9891703875502285,15.019137056298614,38.666204405627354,3.321048137778041,-0.027650739763700614,-0.8924229957944895,17.4806805102504,1.8944027916086308,-0.8246438839268311
3263,-0.27432758482606867,-0.9957377816758346,2.216220358464408,2.904074822091003,15.050993882325749,42.47265293943901,3.203647754570029,-0.03889235743199811,-0.6719977893500848,19.983403588811775,1.5430174941829105,-0.8270481470091718
3264,-0.23681437168545227,-0.9929799468939854,2.3363525446423767,3.1273438515067165,14.773245538103758,39.525484926494094,3.3116480246851414,-0.03103093799533462,-0.8842144995234054,18.279877904809,1.8516217230059455,-0.815384434668135
3265,-0.17436372581769405,-0.9850016322830673,2.4586167967764063,2.8121040936788106,14.436017488629183,40.994933420094405,3.1400606911387525,-0.016507149140050817,-0.7919794507560894,17.800166173700624,1.7586539217037847,-0.8002397635055509
3266,-0.2495359199281335,-0.9828429590295972,2.2656639320079224,2.6532897636777864,14.873072707416462,44.51628903767508,3.081068799430715,-0.0316363869624855,-0.5323036588599076,19.777471603395085,1.4583061453799533,-0.840960001233268
